,Bal,Brick,Dist,District,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Totsp,Walk,lat,lon,rooms
6159,1,,18640.088817866563,8,2,–,–,5,1,4,4046974,38.7,0.0,55.632071,37.416352,1
6160,1,1.0,9480.033449728826,8,1,11,40,12,0,3,21500000,75,0.0,55.705072,37.495491,2
6161,1,1.0,16030.856514696881,8,3,11.1,92.1,15,0,4,43250687,144.8,1.0,55.810526,37.380489,3
6162,1,1.0,12443.944075535825,8,1,12,44.3,3,0,2,19770000,80.2,1.0,55.744242,37.419674,2
6163,0,,21333.821218180416,8,3,–,15,26,0,3,1399222,15.2,0.0,55.646289,37.337639,1
6164,0,1.0,20866.771082872798,8,3,5,10.3,15,1,3,1399333,15.3,0.0,55.651236,37.340662,1
6165,0,1.0,20866.771082872798,8,1,–,20,17,1,3,1599111,20.1,0.0,55.651236,37.340662,1
6166,0,1.0,20989.368212358444,8,1,5,15.4,23,0,3,1599444,20.4,0.0,55.650643,37.339014,1
6167,0,1.0,19797.827352347384,8,3,6,32.1,15,0,3,2999111,38.1,0.0,55.655473,37.356154,2
6168,1,0.0,18640.088817866563,8,1,8.8,15.1,10,1,1,3563700,33.9,0.0,55.632071,37.416352,1
6169,1,0.0,18640.088817866563,8,1,8.8,15.1,10,1,6,3574200,34.0,0.0,55.632071,37.416352,1
6170,1,0.0,31569.335632102007,8,7,9,21,25,0,1,3600000,37,0.0,55.60517,37.190388,1
6171,1,,18640.088817866563,8,2,–,–,5,1,2,3676596,38.1,0.0,55.632071,37.416352,1
6172,1,,18640.088817866563,8,2,–,–,5,1,2,3687222,38.2,0.0,55.632071,37.416352,1
6173,1,,18640.088817866563,8,3,–,–,5,1,2,3756660,38.1,0.0,55.632071,37.416352,1
6174,1,,18640.088817866563,8,2,–,–,5,1,1,3807932,38.6,0.0,55.632071,37.416352,1
6175,1,,18640.088817866563,8,7,–,–,5,1,2,3820656,38.4,0.0,55.632071,37.416352,1
6176,1,0.0,18640.088817866563,8,3,10.6,14.4,10,1,2,3828836,38.1,0.0,55.632071,37.416352,1
6177,1,0.0,18640.088817866563,8,3,10.6,14.4,10,1,2,3841914,38.2,0.0,55.632071,37.416352,1
6178,1,,18640.088817866563,8,5,–,–,5,1,2,3844932,38.2,0.0,55.632071,37.416352,1
6179,1,,18640.088817866563,8,5,–,–,5,1,2,3857004,38.3,0.0,55.632071,37.416352,1
6180,1,0.0,18640.088817866563,8,6,10.6,14.4,10,1,2,3885184,38.2,0.0,55.632071,37.416352,1
6181,1,0.0,18640.088817866563,8,1,10.6,14.4,10,1,9,3885172,38.6,0.0,55.632071,37.416352,1
6182,1,0.0,25103.713362924515,8,9,10,21,15,0,1,3890000,37,0.0,55.614633,37.304626,1
6183,1,0.0,18640.088817866563,8,1,10.6,14.5,10,1,1,3951126,38.5,0.0,55.632071,37.416352,1
6184,1,0.0,18640.088817866563,8,1,10.6,14.5,10,1,5,3959334,38.6,0.0,55.632071,37.416352,1
